1,1,Pai Vista Convention Hall,65000,Upto 800 People,"Pai Vista Convention Hall is located in Banashankari, Bangalore. Pai Vista Convention Hall has 3 beautiful banquet halls of capacity upto 800 people can manage in floating. All venues are centralised ac, attached dress changing rooms and separate dining ...","#3/1,27th Cross End of K.R Road,2nd Stage Canara Bank, Banashankari, Bangalore, 560070",images/PaiVistaMain.jpg,images/PaiVista1.jpg,images/PaiVista2.jpg,images/PaiVista3.jpg,images/PaiVista4.jpg,"Stage is available at the Venue, Power Backup / Generator is available at the Venue, Basic sound system available, Projector provided with additional charges, Microphone provided with additional charges, Homa / Fire Pooja allowed, Plantain leaf services ...",https://www.paihotels.com/events/pai-vista-convention-hall-south-end-circle.html,
2,1,Farmhouse Collective,45000,Upto 350 People,"Farmhouse Collective offers two exquisite venues, perfect for a variety of events and celebrations. Whether you choose the expansive Lawn, which accommodates up to 300 seated guests and 350 floating, or the charming Backyard, ideal for more intimate gath...","Nirmala Farm, Virgonagar, Budigere Cross, Old Madras Road, Bangalore, 560049",images/FarmHouseMain.jpg,images/FarmHouse1.jpg,images/FarmHouse2.jpg,images/FarmHouse3.jpg,images/FarmHouse4.jpg,"Stage is available at the Venue, Power Backup / Generator is available at the Venue, Basic sound system available, Projector provided with additional charges, Microphone provided with additional charges, Homa / Fire Pooja allowed, Plantain leaf services ...",https://www.farmhousecollective.in/,
3,1,Zenya Events And Spaces,30000,Upto 125 People,"At Zenya Event Space, our commitment goes beyond providing a beautiful venue – we also offer comprehensive event management services. With meticulous attention to detail, our experienced team will collaborate closely with you to transform your vision i...","#189, 4th Cross, 4th Main Dollars Colony, JP Nagar, 4th Phase, JP Nagar, Bangalore, 560078",images/ZenyaMain.jpg,images/Zenya1.jpg,images/Zenya2.jpg,images/Zenya3.jpg,images/Zenya4.jpg,"Stage is available at the Venue, Power Backup / Generator is available at the Venue, Basic sound system available, Projector provided with additional charges, Microphone provided with additional charges, Homa / Fire Pooja allowed, Plantain leaf services ...",https://www.wedmegood.com/wedding-venues/Zenya-Events-And-Spaces-4567444,
4,2,KHAGAZ FOODS,250,,"KHAGAZ FOODS, are pleased to introduce ourself as fine catering service company specializes in variety of cuisines including but not limited to Northern and Southern Indian Cuisines. We provide services for both corporate and private entities, regardless...","Shop No.1, Ground Floor, 794, 6th Cross, 16th Main Road, Vyalikaval HBCS, Veeraana Palya, Near Chaitanya Techno School, Bengaluru - 560045",images/KhagazMain.png,images/Khagaz1.png,images/Khagaz2.png,images/Khagaz3.png,,,https://www.khagazfoods.com/,"North Indian, South Indian, Chinese"
5,2,ATMOSFIRE,500,,"Barbeque Nation introduces ATMOSFIRE, a catering service designed to suit all your party requirements- be it birthdays, weddings, anniversaries, corporate parties or home get- togethers. We provide customised catering solutions- any menu, any location, a...",Barbeque Nation Bangalore,images/BarbequeMain.png,images/Barbeque1.png,images/Barbeque2.png,images/Barbeque3.png,,,https://www.weddingwire.in/caterers/atmosfire-caterers-by-barbeque-nation--e250963,"North Indian, South Indian, Gujarati, Goan, Chinese, Mexican, Japanese, Italian"
6,3,Birthday Decoration,3000,,"Package Includes: Decoration as in picture, ""Happy birthday"" foil balloons, hall decoration with balloon of bunches (upto 20 to 25 balloon bunches), happy, birthday banner, Birthday accessories, 10 birthday caps, 10 birthday eye mask, popper, musical kni...","4th Floor, Sheridan House, Gowalia Tank Road, August Kranti",images/BirthdayMain.png,,,,,,https://www.fnp.com/decoration-services/birthday-lp,
7,3,FlowerDecoration,30000,,"Flower decoration: Backdrop as in the picture, Door decoration with colorful drapes, door flower bunches for the door (3 nos), Entrance welcome board.","Kalathurhse,kalathurlytblr-13, Jalahalli",images/FlowerDecorationMain.png,,,,,,https://www.meltingflowers.com/,
8,4,Arun Joe Photography,5000,,"We offer professional photography services for all occasions. We specialize in Bengali Wedding, Indian Wedding, Couple Portraits, Pre-wedding Shoots, Candid Wedding, Theme Wedding, Concept Wedding, Destination Wedding, North Indian Wedding, South Indian ...","6/19, I Floor, II C Cross, Grape Garden Near K V S School, Austin Town, Bengaluru, Karnataka, India",images/dream_capture.jpg,,,,,,https://arunjoe.com/,
9,4,Chait Photography,8000,,"We offer professional photography services for all occasions. We specialize in Hindu Wedding, Candid Wedding, Pre-wedding Shoots, Couple Portraits, Bridal Portraits, Indian candid Wedding, Kids Portraits, New Born, Babies & Kids, Model Portfolio, Portrai...","Bellendur, Bengaluru, Karnataka, India",images/shutter_bliss.jpg,,,,,,https://www.bookmyshoot.net/studio/5e104706130ca904343dea57/about,
10,4,Royal Photos,4500,,"ROYALE PHOTOS is widely recognized as a wholesome, complete candid, conventional photography and cinematography company since 2002. It’s a team of young, creative, enthusiastic and dedicated professionals with a sparkling stream of ideas having vast ex...","#9, J Block, Dairy Colony Taverekere Bengaluru, Karnataka, India",images/golden_lens.jpg,,,,,,https://www.bookmyshoot.net/studio/5e104702130ca904343dea0d/albums,
11,3,Balloon Decoration,5000,,"Our team of balloon artists specializes in creative balloon décor – from classic arches and balloon ceilings to balloon garlands. We are a one-of-a-kind balloon decoration service in Bangalore, specializing in corporate and house parties.","VV Puram Food Street, West Gate, Bangalore",images/Balloon.png,,,,,,https://www.bookmyballoons.in/services/balloon-decoration-in-bangalore/,
12,2,M S Catering and Cooking Services,370,,"We have provide the best, professional and leading catering services in Hyderabad. We caters all types of events and occassions at an affordable price, our reputation for culingry excellence, value for your money and personal services is unrivalled in th...","Zeba Bagh, Murad Nagar, Hyderabad, Telangana 500028",images/MSCaters.png,images/MSCaters1.png,images/MSCaters2.png,images/MSCaters3.png,,,https://mscookingandcateringservices.com/,"Non-vegetarian and vegetarian meals, Indian meals, continental meals"
